URL|BBQ grill & tables - IKEA
16|https://www.ikea.com/ca/en/p/ogenmelon-plant-pot-acacia-10421670/
17|https://www.ikea.com/ca/en/p/oestlig-plant-pot-indoor-outdoor-gray-80452248/
18|https://www.ikea.com/ca/en/p/granataepple-plant-pot-with-stand-indoor-outdoor-dark-green-10452727/
19|https://www.ikea.com/ca/en/p/socker-plant-pot-with-holder-indoor-outdoor-red-pink-40452330/
20|https://www.ikea.com/ca/en/p/foerenlig-plant-pot-indoor-outdoor-white-00454821/
21|https://www.ikea.com/ca/en/p/ragkorn-plant-pot-indoor-outdoor-natural-40407559/
22|https://www.ikea.com/ca/en/p/nypon-plant-pot-indoor-outdoor-gray-00395619/
23|https://www.ikea.com/ca/en/p/baermalla-plant-pot-indoor-outdoor-blue-green-00452742/
24|https://www.ikea.com/ca/en/p/socker-plant-pot-with-holder-indoor-outdoor-turquoise-80452333/

URL|Deck, patio, balcony & outdoor tiles - IKEA
1|https://www.ikea.com/ca/en/p/maellsten-top-part-outdoor-floor-decking-gray-white-00445332/
2|https://www.ikea.com/ca/en/p/runnen-decking-outdoor-brown-stained-90234226/
3|https://www.ikea.com/ca/en/p/altappen-decking-outdoor-light-gray-90420898/
4|https://www.ikea.com/ca/en/p/maellsten-top-part-outdoor-floor-decking-blue-white-90445337/

URL|Outdoor rugs & mats - IKEA
1|https://www.ikea.com/ca/en/p/skelund-rug-flatwoven-in-outdoor-green-beige-00445898/
2|https://www.ikea.com/ca/en/p/rodelund-rug-flatwoven-in-outdoor-beige-50445891/
3|https://www.ikea.com/ca/en/p/sommar-2020-rug-flatwoven-in-outdoor-striped-green-white-80465095/
4|https://www.ikea.com/ca/en/p/roskilde-rug-flatwoven-indoor-outdoor-green-blue-60322106/
5|https://www.ikea.com/ca/en/p/lobbaek-rug-flatwoven-in-outdoor-beige-70423685/
6|https://www.ikea.com/ca/en/p/sommar-2020-rug-flatwoven-in-outdoor-striped-pink-yellow-00467507/
7|https://www.ikea.com/ca/en/p/skarrild-rug-flatwoven-in-outdoor-white-black-50435199/
8|https://www.ikea.com/ca/en/p/morum-rug-flatwoven-in-outdoor-indoor-outdoor-beige-80198295/
9|https://www.ikea.com/ca/en/p/ovtrup-rug-flatwoven-in-outdoor-light-brown-diamond-pattern-00446708/
10|https://www.ikea.com/ca/en/p/hodde-rug-flatwoven-in-outdoor-gray-indoor-outdoor-black-20298797/
11|https://www.ikea.com/ca/en/p/morum-rug-flatwoven-in-outdoor-indoor-outdoor-dark-gray-30198293/
12|https://www.ikea.com/ca/en/p/morum-rug-flatwoven-in-outdoor-indoor-outdoor-dark-gray-10203573/
13|https://www.ikea.com/ca/en/p/lynderup-door-mat-indoor-outdoor-multicolor-30382776/
14|https://www.ikea.com/ca/en/p/svallerup-rug-flatwoven-in-outdoor-black-white-50435217/
15|https://www.ikea.com/ca/en/p/oplev-door-mat-indoor-outdoor-gray-30308994/
16|https://www.ikea.com/ca/en/p/ydby-door-mat-black-indoor-outdoor-black-10230562/
17|https://www.ikea.com/ca/en/p/lobbaek-rug-flatwoven-in-outdoor-indoor-outdoor-beige-60320715/

URL|Outdoor umbrella & gazebos - IKEA
1|https://www.ikea.com/ca/en/p/betsoe-lindoeja-patio-umbrella-with-base-brown-wood-effect-beige-huvoen-s39325531/
2|https://www.ikea.com/ca/en/p/hoegoen-offset-patio-umbrella-with-base-white-svartoe-dark-gray-s19321001/
3|https://www.ikea.com/ca/en/p/oxnoe-lindoeja-offset-patio-umbrella-blue-s89291454/
4|https://www.ikea.com/ca/en/p/kuggoe-lindoeja-patio-umbrella-with-base-blue-grytoe-dark-gray-s39291442/
5|https://www.ikea.com/ca/en/p/seglaroe-svartoe-offset-patio-umbrella-with-base-tilting-beige-dark-gray-s49251803/
6|https://www.ikea.com/ca/en/p/bramsoen-flisoe-patio-umbrella-with-base-black-s29010975/
7|https://www.ikea.com/ca/en/p/dyning-balcony-privacy-screen-white-80340784/
8|https://www.ikea.com/ca/en/p/solblekt-wind-sunshield-green-20460562/
9|https://www.ikea.com/ca/en/p/solblekt-patio-umbrella-floral-pattern-orange-10460609/
10|https://www.ikea.com/ca/en/p/seglaroe-offset-patio-umbrella-beige-tilting-30387868/
11|https://www.ikea.com/ca/en/p/kuggoe-lindoeja-patio-umbrella-beige-s19267462/
12|https://www.ikea.com/ca/en/p/oxnoe-lindoeja-offset-patio-umbrella-with-base-blue-svartoe-dark-gray-s29291466/
13|https://www.ikea.com/ca/en/p/ramsoe-patio-umbrella-turquoise-light-beige-00389543/
14|https://www.ikea.com/ca/en/p/samsoe-patio-umbrella-with-base-beige-grytoe-dark-gray-s29219324/
15|https://www.ikea.com/ca/en/p/hoegoen-offset-patio-umbrella-white-00445351/
16|https://www.ikea.com/ca/en/p/flisoe-patio-umbrella-black-60260250/
17|https://www.ikea.com/ca/en/p/samsoe-patio-umbrella-tilting-beige-50311815/
18|https://www.ikea.com/ca/en/p/betsoe-lindoeja-patio-umbrella-gray-wood-effect-dark-blue-s99324755/
19|https://www.ikea.com/ca/en/p/solig-net-white-10148157/
20|https://www.ikea.com/ca/en/p/bramsoen-umbrella-base-black-90265760/
21|https://www.ikea.com/ca/en/p/betsoe-varholmen-patio-umbrella-with-base-brown-wood-effect-beige-huvoen-s39320562/
22|https://www.ikea.com/ca/en/p/hoegoen-patio-umbrella-with-base-white-huvoen-dark-gray-s39324616/
23|https://www.ikea.com/ca/en/p/huvoen-umbrella-base-gray-50457105/
24|https://www.ikea.com/ca/en/p/tosteroe-umbrella-cover-black-00324561/

URL|Outdoor & patio cushions - IKEA
1|https://www.ikea.com/ca/en/p/funkoen-back-cushion-indoor-outdoor-pink-light-blue-90438445/
2|https://www.ikea.com/ca/en/p/froesoen-duvholmen-back-cushion-outdoor-blue-s39253223/
3|https://www.ikea.com/ca/en/p/duvholmen-inner-seat-pad-outdoor-white-off-white-10391852/
4|https://www.ikea.com/ca/en/p/funkoen-cushion-cover-in-outdoor-dark-yellow-purple-00438459/
5|https://www.ikea.com/ca/en/p/kuddarna-chair-pad-outdoor-light-blue-00441126/
6|https://www.ikea.com/ca/en/p/kuddarna-back-cushion-outdoor-gray-10441121/
7|https://www.ikea.com/ca/en/p/ytteroen-seat-back-pad-outdoor-blue-50327755/
8|https://www.ikea.com/ca/en/p/kuddarna-chair-pad-outdoor-gray-20441130/
9|https://www.ikea.com/ca/en/p/kuddarna-seat-back-pad-outdoor-beige-40441134/
10|https://www.ikea.com/ca/en/p/kuddarna-seat-pad-outdoor-gray-60441133/
11|https://www.ikea.com/ca/en/p/froesoen-cover-for-seat-pad-outdoor-dark-gray-40391718/
12|https://www.ikea.com/ca/en/p/kuddarna-chair-pad-outdoor-beige-90441122/
13|https://www.ikea.com/ca/en/p/halloe-back-cushion-outdoor-black-20264491/
14|https://www.ikea.com/ca/en/p/soetholmen-cushion-cover-in-outdoor-purple-40439273/
15|https://www.ikea.com/ca/en/p/jaerpoen-duvholmen-back-cushion-outdoor-dark-gray-anthracite-s49304929/
16|https://www.ikea.com/ca/en/p/jaerpoen-duvholmen-chair-pad-outdoor-dark-gray-anthracite-s29304869/
17|https://www.ikea.com/ca/en/p/festholmen-cushion-cover-in-outdoor-dark-blue-50438584/
18|https://www.ikea.com/ca/en/p/inner-inner-cushion-white-10262195/
19|https://www.ikea.com/ca/en/p/benoe-chair-pad-outdoor-00344535/
20|https://www.ikea.com/ca/en/p/froesoen-cover-for-back-cushion-outdoor-beige-70391712/
21|https://www.ikea.com/ca/en/p/halloe-chair-pad-outdoor-black-10422212/
22|https://www.ikea.com/ca/en/p/halloe-seat-pad-outdoor-black-20264542/
23|https://www.ikea.com/ca/en/p/duvholmen-inner-back-cushion-outdoor-white-off-white-60391835/
24|https://www.ikea.com/ca/en/p/froesoen-duvholmen-chair-pad-outdoor-blue-s39253459/

URL|Nightstands & Bedside Tables - Buy Online  - IKEA
1|https://www.ikea.com/ca/en/p/gladom-tray-table-green-20462132/
2|https://www.ikea.com/ca/en/p/nyboda-side-table-w-reversible-table-top-dark-gray-concrete-effect-black-50452631/
3|https://www.ikea.com/ca/en/p/kornsjoe-side-table-black-70455412/
4|https://www.ikea.com/ca/en/p/malm-2-drawer-chest-white-80214549/
5|https://www.ikea.com/ca/en/p/kullen-2-drawer-chest-black-brown-60322130/
6|https://www.ikea.com/ca/en/p/hemnes-2-drawer-chest-white-50374271/
7|https://www.ikea.com/ca/en/p/brimnes-nightstand-white-10234942/
8|https://www.ikea.com/ca/en/p/knarrevik-nightstand-black-30381183/
9|https://www.ikea.com/ca/en/p/nesna-nightstand-70215525/
10|https://www.ikea.com/ca/en/p/hemnes-nightstand-black-brown-90121234/
11|https://www.ikea.com/ca/en/p/vikhammer-nightstand-black-90388978/
12|https://www.ikea.com/ca/en/p/trysil-nightstand-dark-brown-black-60236024/
13|https://www.ikea.com/ca/en/p/nordkisa-nightstand-bamboo-00430745/
14|https://www.ikea.com/ca/en/p/askvoll-2-drawer-chest-white-stained-oak-effect-white-20270816/
15|https://www.ikea.com/ca/en/p/raskog-utility-cart-white-20382932/
16|https://www.ikea.com/ca/en/p/bjoerksnaes-nightstand-birch-70407360/
17|https://www.ikea.com/ca/en/p/tyssedal-nightstand-white-70299959/
18|https://www.ikea.com/ca/en/p/songesand-nightstand-brown-70367444/
19|https://www.ikea.com/ca/en/p/vittsjoe-laptop-stand-black-brown-glass-00250249/
20|https://www.ikea.com/ca/en/p/lunnarp-side-table-white-70399020/
21|https://www.ikea.com/ca/en/p/eket-wall-mounted-shelving-unit-white-s39285808/
22|https://www.ikea.com/ca/en/p/burvik-side-table-white-60340389/
23|https://www.ikea.com/ca/en/p/kvistbro-storage-table-dark-blue-20433371/
24|https://www.ikea.com/ca/en/p/eket-wall-mounted-shelving-unit-white-stained-oak-effect-s39286266/

URL|Outdoor & patio lights - IKEA
1|https://www.ikea.com/ca/en/p/solvinden-led-string-light-with-12-lights-battery-operated-outdoor-yellow-30453052/
2|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-light-cylinder-aluminium-colour-30461405/
3|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-floor-lamp-outdoor-clear-glass-50461409/
4|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-pendant-lamp-outdoor-white-90453030/
5|https://www.ikea.com/ca/en/p/storhaga-led-table-lamp-dimmable-outdoor-black-30432738/
6|https://www.ikea.com/ca/en/p/utsund-led-string-light-with-12-lights-outdoor-battery-operated-black-00421133/
7|https://www.ikea.com/ca/en/p/solarvet-led-string-light-with-24-lights-outdoor-solar-powered-ball-white-00421406/
8|https://www.ikea.com/ca/en/p/ledljus-led-string-light-with-64-lights-outdoor-black-80357454/
9|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-lantern-outdoor-mesh-white-40451694/
10|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-pendant-lamp-outdoor-globe-white-60451626/
11|https://www.ikea.com/ca/en/p/solvinden-led-string-light-with-12-lights-outdoor-solar-powered-diamond-shaped-blue-00453039/
12|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-floor-lamp-outdoor-plastic-white-70451701/
13|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-light-outdoor-half-globe-white-40451750/
14|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-pendant-lamp-outdoor-globe-white-50451622/
15|https://www.ikea.com/ca/en/p/solvinden-led-string-light-with-12-lights-outdoor-multicolor-70455049/
16|https://www.ikea.com/ca/en/p/solvinden-led-string-light-with-24-lights-outdoor-solar-powered-globe-multicolor-50453051/
17|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-pendant-lamp-outdoor-globe-white-30451618/
18|https://www.ikea.com/ca/en/p/ledljus-led-string-light-with-24-lights-outdoor-black-00357453/
19|https://www.ikea.com/ca/en/p/solvinden-led-string-light-with-12-lights-outdoor-solar-powered-tulip-gold-colour-30453047/
20|https://www.ikea.com/ca/en/p/solvinden-led-string-light-with-12-lights-battery-operated-outdoor-multicolor-70453031/
21|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-pendant-lamp-outdoor-globe-flower-20451666/
22|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-table-lamp-outdoor-pink-00451752/
23|https://www.ikea.com/ca/en/p/solvinden-led-light-outdoor-battery-operated-clear-glass-40455055/
24|https://www.ikea.com/ca/en/p/solvinden-led-solar-powered-pendant-lamp-outdoor-globe-gold-colour-40451670/

URL|Bathroom & Vanity Sinks - IKEA
1|https://www.ikea.com/ca/en/p/raettviken-sink-white-80223695/
2|https://www.ikea.com/ca/en/p/taelleviken-sink-60196443/
3|https://www.ikea.com/ca/en/p/braviken-sink-white-60148310/
4|https://www.ikea.com/ca/en/p/toernviken-countertop-sink-white-30291516/
5|https://www.ikea.com/ca/en/p/odensvik-double-bowl-sink-30148321/
6|https://www.ikea.com/ca/en/p/kattevik-countertop-sink-white-70358944/
7|https://www.ikea.com/ca/en/p/toernviken-countertop-sink-white-00293611/
8|https://www.ikea.com/ca/en/p/lillangen-sink-white-60148329/
9|https://www.ikea.com/ca/en/p/hagaviken-sink-white-20324503/
10|https://www.ikea.com/ca/en/p/hoervik-countertop-sink-white-70358939/
11|https://www.ikea.com/ca/en/p/braviken-double-bowl-sink-white-80148309/
12|https://www.ikea.com/ca/en/p/odensvik-sink-40193940/
13|https://www.ikea.com/ca/en/p/gutviken-countertop-sink-white-10354963/
14|https://www.ikea.com/ca/en/p/hamnviken-sink-20262114/
15|https://www.ikea.com/ca/en/p/tyngen-sink-white-80297634/
16|https://www.ikea.com/ca/en/p/tyngen-sink-white-pilkan-faucet-s79295179/

URL|Bathroom Lighting & Lighting Fixtures - IKEA
1|https://www.ikea.com/ca/en/p/frihult-wall-lamp-black-80431642/
2|https://www.ikea.com/ca/en/p/svallis-led-wall-lamp-white-dimmable-white-80327626/
3|https://www.ikea.com/ca/en/p/frihult-ceiling-wall-lamp-black-10431607/
4|https://www.ikea.com/ca/en/p/frihult-ceiling-lamp-black-80431656/
5|https://www.ikea.com/ca/en/p/svallis-led-wall-lamp-with-swing-arm-dimmable-white-80357086/
6|https://www.ikea.com/ca/en/p/ledsjoe-led-wall-lamp-stainless-steel-70328626/
7|https://www.ikea.com/ca/en/p/vallmora-wall-lamp-3-spots-nickel-plated-80306940/
8|https://www.ikea.com/ca/en/p/soedersvik-led-wall-lamp-glossy-dimmable-glossy-white-white-80456232/
9|https://www.ikea.com/ca/en/p/frihult-wall-lamp-brass-color-20431635/
10|https://www.ikea.com/ca/en/p/oestana-led-cabinet-wall-light-white-80228513/
11|https://www.ikea.com/ca/en/p/frihult-wall-lamp-stainless-steel-color-70431628/
12|https://www.ikea.com/ca/en/p/oestana-wall-lamp-white-70228580/
13|https://www.ikea.com/ca/en/p/godmorgon-led-cabinet-light-white-00430849/
14|https://www.ikea.com/ca/en/p/soedersvik-led-ceiling-lamp-glossy-dimmable-glossy-white-white-50456224/
15|https://www.ikea.com/ca/en/p/frihult-ceiling-wall-lamp-stainless-steel-color-70431614/
16|https://www.ikea.com/ca/en/p/frihult-ceiling-wall-lamp-brass-color-20431621/
17|https://www.ikea.com/ca/en/p/godmorgon-led-cabinet-light-white-30430843/
18|https://www.ikea.com/ca/en/p/oestana-ceiling-wall-lamp-white-40312392/
19|https://www.ikea.com/ca/en/p/godmorgon-led-cabinet-light-white-70430836/
20|https://www.ikea.com/ca/en/p/frihult-ceiling-lamp-brass-color-20431664/
21|https://www.ikea.com/ca/en/p/oestana-ceiling-spotlight-white-00228507/
22|https://www.ikea.com/ca/en/p/svallis-led-ceiling-lamp-white-dimmable-white-00357085/
23|https://www.ikea.com/ca/en/p/frihult-ceiling-lamp-stainless-steel-color-30431649/

URL|Box Springs - Queen, Full, King & Twin Mattress Bases - IKEA
1|https://www.ikea.com/ca/en/p/eidfjord-slatted-mattress-base-white-s99183717/
2|https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-for-bed-frame-white-s49156603/
3|https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-with-legs-dark-gray-s89207912/
4|https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-for-bed-frame-natural-s49234583/
5|https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-with-legs-white-s49207914/
6|https://www.ikea.com/ca/en/p/espevaer-divan-bed-mausund-medium-firm-natural-s89228392/
7|https://www.ikea.com/ca/en/p/espevaer-cover-dark-gray-90307901/
8|https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-for-bed-frame-dark-gray-s89156601/
9|https://www.ikea.com/ca/en/p/espevaer-divan-bed-mausund-medium-firm-natural-s29228432/

URL|All Beds & Bed Frames   - IKEA
1|https://www.ikea.com/ca/en/p/slaekt-ext-bed-frame-with-slatted-bed-base-white-birch-s09326612/
2|https://www.ikea.com/ca/en/p/minnen-ext-bed-frame-with-slatted-bed-base-turquoise-s89323761/
3|https://www.ikea.com/ca/en/p/haerlanda-loveseat-sleeper-section-sporda-dark-gray-s09320243/
4|https://www.ikea.com/ca/en/p/finnala-loveseat-sleeper-section-tallmyra-black-gray-s59319628/
5|https://www.ikea.com/ca/en/p/malm-high-bed-frame-2-storage-boxes-white-s39175961/
6|https://www.ikea.com/ca/en/p/songesand-bed-frame-with-2-storage-boxes-brown-s19241132/
7|https://www.ikea.com/ca/en/p/nordli-bed-with-headboard-and-storage-white-s39241428/
8|https://www.ikea.com/ca/en/p/neiden-bed-frame-birch-pine-luroey-s79248606/
9|https://www.ikea.com/ca/en/p/slattum-upholstered-bed-frame-knisa-light-gray-80464406/
10|https://www.ikea.com/ca/en/p/malm-high-bed-frame-4-storage-boxes-white-luroey-s39009504/
11|https://www.ikea.com/ca/en/p/nordli-bed-frame-with-storage-white-00349849/
12|https://www.ikea.com/ca/en/p/trysil-bed-frame-dark-brown-black-s59931137/
13|https://www.ikea.com/ca/en/p/sagstua-bed-frame-black-s59268898/
14|https://www.ikea.com/ca/en/p/malm-bed-frame-high-white-luroey-s89069779/
15|https://www.ikea.com/ca/en/p/hemnes-daybed-frame-with-3-drawers-white-30349329/
16|https://www.ikea.com/ca/en/p/brimnes-bed-frame-with-storage-headboard-black-s19099195/
17|https://www.ikea.com/ca/en/p/hemnes-bed-frame-white-stain-s39931591/
18|https://www.ikea.com/ca/en/p/bjoerksnaes-bed-frame-birch-loenset-s89285981/
19|https://www.ikea.com/ca/en/p/brimnes-bed-frame-with-storage-gray-luroey-s89324874/
20|https://www.ikea.com/ca/en/p/askvoll-bed-frame-white-s99019722/
21|https://www.ikea.com/ca/en/p/malm-pull-up-storage-bed-black-brown-30404815/
22|https://www.ikea.com/ca/en/p/kopardal-bed-frame-gray-s09157666/
23|https://www.ikea.com/ca/en/p/songesand-bed-frame-brown-s79241049/
24|https://www.ikea.com/ca/en/p/tarva-bed-frame-pine-loenset-s19019491/

URL|Bathroom Showers & Shower Accessories - IKEA
1|https://www.ikea.com/ca/en/p/tisken-corner-basket-with-suction-cup-white-20400304/
2|https://www.ikea.com/ca/en/p/brogrund-riser-rail-with-hand-shower-outlet-chrome-plated-50342628/
3|https://www.ikea.com/ca/en/p/brogrund-5-spray-hand-shower-chrome-plated-60351797/
4|https://www.ikea.com/ca/en/p/brogrund-1-spray-showerhead-with-arm-chrome-plated-50385873/
5|https://www.ikea.com/ca/en/p/vallamosse-riser-rail-with-hand-shower-outlet-chrome-plated-70351933/
6|https://www.ikea.com/ca/en/p/brogrund-5-spray-shower-head-chrome-plated-00351795/
7|https://www.ikea.com/ca/en/p/tisken-basket-with-suction-cup-white-40381253/
8|https://www.ikea.com/ca/en/p/kalkgrund-shower-shelf-chrome-plated-70291487/
9|https://www.ikea.com/ca/en/p/voxnan-bath-shower-set-thermostatic-faucet-chrome-plated-00342621/
10|https://www.ikea.com/ca/en/p/brogrund-shower-shelf-chrome-plated-90328526/
11|https://www.ikea.com/ca/en/p/voxnan-1-spray-showerhead-with-arm-chrome-plated-40372423/
12|https://www.ikea.com/ca/en/p/voxnan-shower-shelf-chrome-plated-70328589/
13|https://www.ikea.com/ca/en/p/voxnan-5-spray-shower-head-chrome-plated-20351799/
14|https://www.ikea.com/ca/en/p/tisken-handheld-shower-holder-suction-cup-white-50400307/
15|https://www.ikea.com/ca/en/p/voxnan-5-spray-hand-shower-chrome-plated-60351801/
16|https://www.ikea.com/ca/en/p/kolsjoen-shower-hose-chrome-plated-80351800/
17|https://www.ikea.com/ca/en/p/voxnan-riser-rail-with-hand-shower-outlet-chrome-plated-60342623/
18|https://www.ikea.com/ca/en/p/brogrund-showerhead-with-thermostatic-faucet-chrome-plated-10342625/
19|https://www.ikea.com/ca/en/p/kolsjoen-hand-shower-mounting-bracket-chrome-plated-30390502/
20|https://www.ikea.com/ca/en/p/voxnan-showerhead-with-thermostatic-faucet-chrome-plated-80342622/
21|https://www.ikea.com/ca/en/p/lillrevet-single-spray-hand-held-shower-head-white-50342633/
22|https://www.ikea.com/ca/en/p/brogrund-3-spray-shower-head-chrome-plated-70342627/
23|https://www.ikea.com/ca/en/p/brogrund-bath-shower-set-thermostatic-faucet-chrome-plated-90342626/
24|https://www.ikea.com/ca/en/p/lillrevet-shower-hose-white-00408438/

URL|Bathroom Furniture Sets - IKEA
1|https://www.ikea.com/ca/en/p/godmorgon-odensvik-bathroom-furniture-set-of-5-high-gloss-white-brogrund-faucet-s69388409/
2|https://www.ikea.com/ca/en/p/lillangen-taelleviken-bathroom-furniture-set-of-6-white-ensen-faucet-s99388380/
3|https://www.ikea.com/ca/en/p/hemnes-raettviken-bathroom-furniture-set-of-5-white-runskaer-faucet-s89304456/
4|https://www.ikea.com/ca/en/p/godmorgon-odensvik-bathroom-furniture-set-of-6-brown-stained-ash-effect-dalskaer-faucet-s89305192/
5|https://www.ikea.com/ca/en/p/godmorgon-tolken-kattevik-bathroom-furniture-set-of-6-kasjoen-light-gray-marble-effect-voxnan-faucet-s59304392/
6|https://www.ikea.com/ca/en/p/godmorgon-odensvik-bathroom-furniture-set-of-4-white-dalskaer-faucet-s59332470/
7|https://www.ikea.com/ca/en/p/lillangen-lillangen-bathroom-furniture-set-of-6-white-ensen-faucet-s19304515/
8|https://www.ikea.com/ca/en/p/godmorgon-odensvik-bathroom-furniture-set-of-4-white-dalskaer-faucet-s39332466/
9|https://www.ikea.com/ca/en/p/lillangen-lillangen-bathroom-furniture-set-of-5-white-ensen-faucet-s69304513/
10|https://www.ikea.com/ca/en/p/godmorgon-odensvik-bathroom-furniture-set-of-4-brown-stained-ash-effect-dalskaer-faucet-s79332469/
11|https://www.ikea.com/ca/en/p/godmorgon-raettviken-bathroom-furniture-set-of-4-kasjoen-light-gray-hamnskaer-faucet-s99315162/
12|https://www.ikea.com/ca/en/p/lillangen-viskan-gutviken-bathroom-furniture-set-of-8-white-gray-ensen-faucet-s49304514/
13|https://www.ikea.com/ca/en/p/lillangen-lillangen-bathroom-furniture-set-of-5-white-ensen-faucet-s09388351/
14|https://www.ikea.com/ca/en/p/lillangen-lillangen-bathroom-furniture-set-of-5-white-pilkan-faucet-s99304385/
15|https://www.ikea.com/ca/en/p/hemnes-raettviken-bathroom-furniture-set-of-4-white-runskaer-faucet-s39333215/
16|https://www.ikea.com/ca/en/p/hemnes-odensvik-bathroom-furniture-set-of-5-black-brown-voxnan-faucet-s09304460/
17|https://www.ikea.com/ca/en/p/hemnes-odensvik-bathroom-furniture-set-of-5-white-voxnan-faucet-s49315961/
18|https://www.ikea.com/ca/en/p/hemnes-toernviken-bathroom-furniture-set-of-4-white-voxnan-faucet-s09304441/
19|https://www.ikea.com/ca/en/p/godmorgon-raettviken-bathroom-furniture-set-of-4-kasjoen-light-gray-hamnskaer-faucet-s39326125/
